Borough ,Average Price 2019
Barking and Dagenham,298620.2035
Barnet,519611.266
Bexley,336858.0005
Brent,474513.0822
Bromley,436459.8137
Camden,841744.3546
Croydon,365441.0698
Ealing,472913.2455
Enfield,392835.4379
Greenwich,393062.0638
Hackney,555654.998
Hammersmith & Fulham,721458.8242
Haringey,547222.211
Harrow,449261.3818
Havering,364777.6
Hillingdon,404536.8324
Hounslow,400905.8546
Islington,634610.0844
Kensington & Chelsea,1243722.071
Kingston upon Thames,487195.4364
Lambeth,508418.4713
Lewisham,409239.3681
Merton,506193.0588
Newham,363957.1595
Redbridge,412566.1798
Richmond upon Thames,650027.533
Southwark,499247.3482
Sutton,371874.9618
Tower Hamlets,438460.9539
Waltham Forest,430501.9453
Wandsworth,588613.0518
Westminster,955352.4737
