Borough,Year,RatioHouse&Earnings
City of London,2019,16.55
Barking and Dagenham,2019,10.76
Barnet,2019,14.21
Bexley,2019,9.68
Brent,2019,15.74
Bromley,2019,10.73
Camden,2019,18.28
Croydon,2019,11.18
Ealing,2019,15.00
Enfield,2019,12.46
Greenwich,2019,12.70
Hackney,2019,16.14
Hammersmith and Fulham,2019,17.74
Haringey,2019,14.48
Harrow,2019,13.09
Havering,2019,10.79
Hillingdon,2019,13.19
Hounslow,2019,11.95
Islington,2019,13.78
Kensington and Chelsea,2019,28.08
Kingston upon Thames,2019,12.70
Lambeth,2019,14.50
Lewisham,2019,12.78
Merton,2019,12.39
Newham,2019,13.01
Redbridge,2019,12.18
Richmond upon Thames,2019,14.96
Southwark,2019,14.29
Sutton,2019,10.60
Tower Hamlets,2019,11.51
Waltham Forest,2019,12.79
Wandsworth,2019,14.49
Westminster,2019,22.70
