Primary or Secondary,Borough,%3MileSchool
secondary,Barking and Dagenham,12.9
secondary,Barnet,18.3
secondary,Bexley,11.7
secondary,Brent,16.5
secondary,Bromley,19.4
secondary,Camden,7.2
secondary,Croydon,21
secondary,Ealing,12.7
secondary,Enfield,14.6
secondary,Greenwich,20.9
secondary,Hackney,6.1
secondary,Hammersmith and Fulham,9.5
secondary,Haringey,10
secondary,Harrow,20
secondary,Havering,17.1
secondary,Hillingdon,20.9
secondary,Hounslow,15.8
secondary,Islington,7.9
secondary,Kensington and Chelsea,7.2
secondary,Kingston upon Thames,9
secondary,Lambeth,12.4
secondary,Lewisham,16.6
secondary,Merton,16.6
secondary,Newham,6.5
secondary,Redbridge,11.3
secondary,Richmond upon Thames,9.4
secondary,Southwark,7.9
secondary,Sutton,7
secondary,Tower Hamlets,3
secondary,Waltham Forest,7
secondary,Wandsworth,13.3
secondary,Westminster,9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
secondary,England,18.4
